Date,Symbol,Direction,Entry,Exit,PnL
2026-01-02,NQ,Short,19407.00,19390.00,340
2026-01-02,ES,Long,5322.25,5330.00,387.50
2026-01-02,NQ,Long,19406.25,19393.00,-265
2026-01-05,MNQ,Long,19499.00,19667.50,337
2026-01-05,MNQ,Short,19497.75,19497.75,0
2026-01-06,MNQ,Long,19511.50,19407.75,-207.50
2026-01-06,ES,Long,5348.00,5360.00,600
2026-01-06,MNQ,Long,19529.00,19685.50,313
2026-01-06,ES,Short,5349.50,5341.00,425
2026-01-07,ES,Short,5359.00,5347.50,575
2026-01-07,MNQ,Long,19552.75,19686.00,266.50
2026-01-07,ES,Short,5358.25,5352.75,275
2026-01-07,ES,Short,5361.50,5367.00,-275
2026-01-08,MNQ,Long,19546.00,19411.00,-270
2026-01-08,ES,Short,5355.50,5361.25,-287.50
2026-01-08,MNQ,Short,19568.50,19689.50,-242
2026-01-08,MES,Long,5359.00,5359.00,0
2026-01-09,MNQ,Short,19567.25,19703.25,-272
2026-01-09,MNQ,Long,19566.75,19813.00,492.50
2026-01-13,ES,Short,5379.25,5373.75,275
2026-01-13,MNQ,Long,19628.75,19501.00,-255.50
2026-01-13,ES,Long,5373.75,5381.75,400
2026-01-13,MNQ,Long,19635.25,19897.25,524
2026-01-13,MES,Short,5381.75,5414.25,-162.50
2026-01-16,MNQ,Short,19627.25,19354.75,545
2026-01-16,MES,Long,5387.25,5337.75,-247.50
2026-01-20,MNQ,Long,19638.00,19755.00,234
2026-01-20,MNQ,Long,19603.75,19865.50,523.50
2026-01-20,MNQ,Long,19632.75,19726.25,187
2026-01-20,ES,Long,5376.25,5370.00,-312.50
2026-01-21,ES,Long,5377.00,5388.00,550
2026-01-21,ES,Long,5377.50,5386.25,437.50
2026-01-21,MNQ,Long,19619.75,19736.25,233
2026-01-21,NQ,Short,19587.50,19556.25,625
2026-01-21,ES,Short,5373.50,5362.00,575
2026-01-26,MNQ,Short,19504.00,19504.00,0
2026-01-26,NQ,Short,19531.00,19501.00,600
2026-01-26,MNQ,Short,19534.00,19242.25,583.50
2026-01-27,MNQ,Short,19475.75,19608.75,-266
2026-01-27,MNQ,Long,19481.50,19670.25,377.50
2026-01-27,MNQ,Short,19501.50,19212.00,579
2026-01-27,MNQ,Long,19513.00,19793.50,561
2026-01-28,NQ,Long,19477.00,19499.25,445
2026-01-28,ES,Long,5340.25,5347.75,375
2026-01-28,MNQ,Short,19459.75,19284.75,350
2026-01-28,NQ,Long,19487.25,19518.25,620
2026-01-29,MES,Long,5325.25,5286.75,-192.50
2026-01-29,MNQ,Long,19449.75,19374.25,-151
2026-01-29,MES,Long,5334.50,5384.75,251.25
2026-01-29,MNQ,Long,19457.00,19332.50,-249
2026-01-29,MNQ,Long,19449.75,19724.50,549.50
2026-01-30,MNQ,Long,19409.25,19569.50,320.50
2026-01-30,ES,Short,5317.50,5308.50,450
