Date,Symbol,Direction,Entry,Exit,PnL
2026-08-07,MNQ,Long,19538.75,19742.75,408
2026-08-07,ES,Short,5368.50,5359.75,432
2026-08-07,ES,Long,5365.75,5377.50,587
2026-08-07,ES,Long,5375.25,5365.75,-480
2026-08-06,ES,Short,5358.50,5339.50,948
2026-08-06,NQ,Short,19499.50,19522.75,-466
2026-08-06,ES,Short,5358.25,5355.50,137
2026-08-06,ES,Short,5362.50,5368.50,-297
2026-08-05,GC,Long,2484.7,2493.9,915
2026-08-05,MNQ,Long,19582.25,19920.25,676
2026-08-05,ES,Short,5353.00,5348.25,234
2026-08-04,MNQ,Short,19637.50,19991.00,-707
2026-08-04,ES,Long,5343.25,5318.00,-1260
2026-08-03,NQ,Long,19754.75,19741.50,-266
2026-08-03,ES,Long,5326.00,5321.00,-248
2026-08-03,ES,Long,5320.25,5328.00,385
2026-08-03,ES,Long,5320.25,5327.50,366
2026-08-03,MNQ,Long,19705.50,19577.50,-256
2026-08-03,ES,Long,5327.25,5330.50,161
2026-07-31,MNQ,Long,19748.25,19893.25,290
2026-07-29,MES,Long,5337.00,5357.75,104
2026-07-27,MNQ,Long,19830.25,19923.25,186
2026-07-27,MES,Long,5328.50,5375.50,235
2026-07-27,MES,Short,5315.50,5315.75,-1
2026-07-24,MES,Long,5315.00,5407.00,460
2026-07-24,MNQ,Long,19755.75,19838.25,165
2026-07-24,NQ,Long,19764.25,19786.00,434
2026-07-24,MES,Long,5311.75,5293.75,-90
2026-07-23,MES,Long,5309.25,5348.00,194
2026-07-23,MES,Short,5301.75,5326.25,-123
2026-07-22,MNQ,Long,19670.50,19860.00,379
2026-07-22,MNQ,Short,19695.75,19626.25,139
2026-07-21,ES,Short,5298.25,5301.50,-167
2026-07-21,MNQ,Long,19682.00,19750.00,136
2026-07-20,MNQ,Short,19728.50,19815.50,-174
2026-07-20,MES,Short,5295.00,5250.00,225
2026-07-16,NQ,Short,19723.75,19696.50,544
2026-07-16,MNQ,Short,19734.25,19835.75,-203
2026-07-14,ES,Long,5300.00,5305.50,274
2026-07-14,MES,Long,5287.25,5248.75,-193
2026-07-13,MNQ,Long,19511.50,19396.00,-231
2026-07-13,MES,Long,5275.00,5264.00,-55
