Date,Symbol,Direction,Entry,Exit,PnL
2026-04-13,MNQ,Long,19528.25,19565.75,75
2026-04-13,M2K,Short,2179.70,2548.30,-73.72
2026-04-13,MES,Long,5358.75,5348.50,-51.25
2026-04-13,MNQ,Long,19489.75,19507.50,35.50
2026-04-13,MNQ,Long,19542.00,19497.50,-89
2026-04-13,MNQ,Long,19523.25,19499.25,-48
2026-04-13,M2K,Long,2181.80,1970.00,-42.36
2026-04-13,MNQ,Long,19509.75,19451.00,-117.50
2026-04-13,M2K,Short,2181.20,2493.00,-62.36
2026-04-14,M2K,Short,2175.60,1709.70,93.18
2026-04-14,M2K,Short,2175.40,1720.70,90.94
2026-04-14,MNQ,Short,19597.50,19626.25,-57.50
2026-04-14,MES,Short,5360.50,5380.50,-100
2026-04-14,M2K,Long,2174.60,2587.90,82.66
2026-04-15,MNQ,Long,19526.75,19456.75,-140
2026-04-15,MNQ,Short,19553.00,19573.75,-41.50
2026-04-15,MNQ,Short,19568.00,19525.50,85
2026-04-15,MES,Short,5374.75,5383.50,-43.75
2026-04-15,MNQ,Short,19576.00,19639.25,-126.50
2026-04-16,MNQ,Long,19551.00,19595.75,89.50
2026-04-16,MNQ,Long,19528.25,19482.75,-91
2026-04-16,MNQ,Long,19490.25,19540.25,100
2026-04-16,MNQ,Long,19486.75,19463.75,-46
2026-04-16,M2K,Long,2163.30,1781.20,-76.42
2026-04-16,MNQ,Long,19511.75,19532.75,42
2026-04-16,MNQ,Long,19539.50,19554.50,30
2026-04-16,MNQ,Long,19507.75,19453.75,-108
2026-04-16,MNQ,Long,19485.00,19520.50,71
2026-04-16,MES,Short,5373.00,5356.00,85
2026-04-16,MNQ,Short,19520.50,19500.50,40
2026-04-17,MNQ,Long,19455.00,19501.50,93
2026-04-17,MES,Long,5391.75,5403.75,60
2026-04-17,MES,Long,5393.25,5402.75,47.50
2026-04-17,MNQ,Short,19488.25,19556.50,-136.50
2026-04-17,M2K,Long,2170.30,1647.80,-104.50
2026-04-17,MNQ,Short,19464.25,19509.75,-91
2026-04-17,MNQ,Short,19493.00,19551.00,-116
2026-04-17,M2K,Long,2170.90,2630.50,91.92
2026-04-17,MNQ,Long,19452.25,19426.25,-52
2026-04-17,MNQ,Long,19458.25,19417.25,-82
2026-04-20,MNQ,Short,19437.75,19411.00,53.50
2026-04-20,MNQ,Short,19451.00,19487.75,-73.50
2026-04-20,MNQ,Long,19459.75,19402.25,-115
2026-04-20,MNQ,Long,19458.25,19396.75,-123
2026-04-20,M2K,Short,2172.60,1626.00,109.32
2026-04-20,MNQ,Long,19455.00,19426.50,-57
2026-04-20,MNQ,Short,19468.25,19420.25,96
2026-04-20,MNQ,Long,19478.50,19423.50,-110
2026-04-20,MNQ,Short,19463.25,19410.75,105
2026-04-20,MNQ,Long,19463.25,19502.75,79
2026-04-21,MNQ,Long,19430.75,19381.75,-98
2026-04-21,MNQ,Long,19446.75,19414.00,-65.50
2026-04-21,MNQ,Long,19430.25,19399.00,-62.50
2026-04-21,M2K,Long,2169.50,1888.00,-56.30
2026-04-21,MNQ,Short,19449.75,19430.50,38.50
2026-04-21,MES,Long,5376.00,5386.25,51.25
2026-04-22,MES,Short,5372.00,5381.75,-48.75
2026-04-22,MNQ,Short,19487.00,19530.75,-87.50
2026-04-22,MNQ,Long,19449.25,19428.50,-41.50
2026-04-22,MES,Short,5373.25,5392.50,-96.25
2026-04-23,MNQ,Short,19448.00,19405.00,86
2026-04-23,MNQ,Long,19392.75,19353.75,-78
2026-04-23,MNQ,Long,19413.00,19346.25,-133.50
2026-04-23,MES,Short,5377.00,5366.00,55
2026-04-23,M2K,Long,2168.00,2397.40,45.88
2026-04-23,MNQ,Short,19401.00,19457.00,-112
2026-04-23,MES,Short,5380.75,5371.50,46.25
2026-04-23,MNQ,Long,19438.50,19409.00,-59
2026-04-23,M2K,Short,2168.10,2861.60,-138.70
2026-04-23,MNQ,Long,19455.25,19435.25,-40
2026-04-23,MNQ,Long,19445.75,19386.25,-119
2026-04-24,M2K,Long,2177.00,2571.70,78.94
2026-04-24,M2K,Long,2175.80,2481.00,61.04
2026-04-24,MNQ,Long,19430.50,19364.25,-132.50
2026-04-24,MES,Long,5388.75,5408.00,96.25
2026-04-24,M2K,Short,2173.40,2546.80,-74.68
2026-04-27,MNQ,Long,19451.75,19386.00,-131.50
2026-04-27,MNQ,Long,19402.00,19422.50,41
2026-04-27,MNQ,Short,19458.75,19498.75,-80
2026-04-27,MNQ,Long,19430.25,19377.75,-105
2026-04-27,MNQ,Long,19445.00,19377.00,-136
2026-04-27,MNQ,Long,19451.25,19419.00,-64.50
2026-04-28,MNQ,Short,19450.75,19486.25,-71
2026-04-28,MNQ,Long,19413.25,19390.50,-45.50
2026-04-28,MES,Long,5397.25,5381.75,-77.50
2026-04-28,MNQ,Short,19421.75,19487.25,-131
