Date,Symbol,Direction,Entry,Exit,PnL
2026-04-13,MES,Short,5345.00,5363.00,-90
2026-04-13,MNQ,Long,19489.50,19516.75,54.50
2026-04-13,MES,Short,5336.75,5344.75,-40
2026-04-13,MNQ,Long,19484.75,19524.50,79.50
2026-04-13,MES,Long,5336.50,5358.75,111.25
2026-04-13,MES,Long,5343.25,5336.50,-33.75
2026-04-14,MNQ,Short,19462.50,19413.25,98.50
2026-04-14,MNQ,Short,19433.50,19486.25,-105.50
2026-04-14,MNQ,Long,19449.25,19472.00,45.50
2026-04-14,MNQ,Long,19483.25,19507.75,49
2026-04-15,MNQ,Short,19479.00,19447.00,64
2026-04-15,MES,Short,5336.00,5360.75,-123.75
2026-04-15,MYM,Short,39890.00,39735.00,77.50
2026-04-16,MNQ,Long,19511.75,19447.25,-129
2026-04-16,MES,Long,5363.75,5381.50,88.75
2026-04-16,MYM,Long,39912.00,40089.00,88.50
2026-04-16,MES,Short,5357.50,5334.75,113.75
2026-04-16,MNQ,Short,19491.50,19433.00,117
2026-04-16,MNQ,Long,19529.25,19481.00,-96.50
2026-04-17,MNQ,Short,19484.75,19456.75,56
2026-04-17,MES,Short,5363.00,5336.50,132.50
2026-04-17,MNQ,Short,19459.00,19494.50,-71
2026-04-17,MES,Long,5368.00,5390.75,113.75
2026-04-17,MNQ,Long,19454.75,19422.50,-64.50
2026-04-20,MNQ,Long,19555.75,19521.50,-68.50
2026-04-20,MNQ,Short,19505.00,19533.00,-56
2026-04-20,MES,Short,5354.25,5374.00,-98.75
2026-04-20,MES,Long,5348.00,5321.75,-131.25
2026-04-20,MNQ,Long,19542.25,19523.75,-37
2026-04-20,MNQ,Short,19497.50,19449.50,96
2026-04-20,MYM,Long,39974.00,39835.00,-69.50
2026-04-20,MNQ,Long,19543.25,19577.75,69
2026-04-21,MYM,Long,39892.00,40123.00,115.50
2026-04-21,MES,Short,5351.25,5365.25,-70
2026-04-21,MES,Short,5359.50,5382.25,-113.75
2026-04-21,MNQ,Long,19581.00,19539.00,-84
2026-04-21,MYM,Short,39927.00,39997.00,-35
2026-04-21,MES,Short,5361.75,5347.00,73.75
2026-04-21,MNQ,Short,19591.50,19628.50,-74
2026-04-21,MES,Long,5362.50,5389.75,136.25
2026-04-23,MYM,Long,39822.00,39607.00,-107.50
2026-04-23,MNQ,Long,19580.75,19597.00,32.50
2026-04-23,MES,Long,5360.50,5373.25,63.75
2026-04-23,MES,Long,5364.75,5344.50,-101.25
2026-04-23,MNQ,Long,19563.00,19498.50,-129
2026-04-23,MYM,Long,39846.00,39753.00,-46.50
2026-04-24,MNQ,Short,19627.25,19602.75,49
2026-04-24,MES,Long,5358.00,5336.50,-107.50
2026-04-24,MES,Short,5356.75,5347.50,46.25
2026-04-24,MNQ,Long,19620.50,19603.25,-34.50
2026-04-24,MNQ,Long,19650.25,19686.75,73
2026-04-24,MYM,Short,39795.00,39963.00,-84
2026-04-27,MYM,Long,39738.00,39802.00,32
2026-04-27,MNQ,Long,19607.75,19571.00,-73.50
2026-04-27,MYM,Short,39732.00,39883.00,-75.50
2026-04-27,MYM,Short,39710.00,39607.00,51.50
2026-04-27,MES,Short,5361.25,5372.50,-56.25
2026-04-28,MYM,Long,39713.00,39916.00,101.50
2026-04-28,MNQ,Long,19668.75,19740.25,143
2026-04-28,MNQ,Long,19615.25,19644.50,58.50
2026-04-28,MNQ,Long,19644.25,19616.00,-56.50
2026-04-29,MES,Long,5359.50,5332.75,-133.75
2026-04-29,MNQ,Short,19644.25,19592.00,104.50
2026-04-29,MES,Short,5360.75,5346.75,70
2026-04-30,MYM,Long,39862.00,39717.00,-72.50
2026-04-30,MES,Long,5374.50,5398.75,121.25
2026-04-30,MNQ,Short,19539.75,19606.25,-133
2026-04-30,MYM,Short,39885.00,39716.00,84.50
