Date,Symbol,Direction,Entry,Exit,PnL
2026-04-16,ES,Long,5352.50,5385.00,1625
2026-04-16,GC,Long,2387.60,2380.70,-690
2026-04-20,CL,Long,75.49,75.06,-430
2026-04-20,GC,Short,2386.50,2391.50,-500
2026-04-22,NQ,Long,19516.50,19497.50,-380
2026-04-22,NQ,Long,19545.00,19610.25,1305
2026-04-23,GC,Short,2383.20,2373.10,1010
2026-04-24,GC,Short,2378.50,2386.10,-760
2026-04-24,NQ,Long,19557.25,19580.50,465
2026-04-24,CL,Long,76.64,78.64,2000
2026-04-27,NQ,Long,19488.75,19525.00,725
2026-04-28,GC,Short,2376.30,2368.10,820
2026-04-28,NQ,Long,19419.00,19396.25,-455
2026-04-29,ES,Long,5359.00,5390.00,1550
2026-04-30,CL,Long,76.20,78.07,1870
2026-04-30,NQ,Long,19433.50,19461.50,560
2026-05-01,ES,Long,5356.75,5369.00,612.50
2026-05-01,CL,Long,76.65,78.54,1890
2026-05-01,NQ,Long,19376.25,19439.75,1270
2026-05-04,NQ,Long,19381.50,19465.75,1685
2026-05-04,NQ,Long,19360.00,19459.25,1985
2026-05-05,CL,Long,76.69,76.10,-590
2026-05-05,NQ,Long,19449.75,19417.25,-650
2026-05-07,GC,Long,2381.50,2374.60,-690
2026-05-07,NQ,Long,19521.50,19556.00,690
2026-05-08,GC,Short,2380.70,2387.10,-640
2026-05-12,ES,Long,5373.50,5402.50,1450
2026-05-12,CL,Long,76.81,76.09,-720
2026-05-13,ES,Long,5384.75,5369.50,-762.50
2026-05-13,NQ,Long,19471.75,19455.75,-320
2026-05-13,ES,Long,5373.75,5391.50,887.50
2026-05-20,CL,Long,78.47,79.99,1520
2026-05-21,ES,Short,5372.75,5384.25,-575
2026-05-21,NQ,Short,19709.75,19728.25,-370
2026-05-21,NQ,Short,19639.50,19664.75,-505
2026-05-21,NQ,Long,19687.00,19725.50,770
2026-05-21,NQ,Short,19663.75,19571.25,1850
2026-05-22,GC,Short,2376.30,2364.10,1220
2026-05-22,NQ,Short,19677.50,19717.50,-800
2026-05-22,NQ,Short,19694.50,19606.75,1755
2026-05-26,CL,Long,78.07,77.69,-380
2026-05-26,CL,Short,78.13,78.60,-470
2026-05-27,NQ,Short,19731.25,19759.00,-555
2026-05-27,CL,Long,78.40,79.09,690
2026-06-01,NQ,Short,19733.50,19754.75,-425
2026-06-01,GC,Short,2364.40,2369.50,-510
2026-06-01,GC,Long,2368.40,2364.20,-420
2026-06-02,ES,Long,5383.50,5368.75,-737.50
2026-06-02,CL,Short,78.07,78.38,-310
2026-06-02,ES,Long,5379.75,5363.50,-812.50
2026-06-04,NQ,Short,19689.25,19731.75,-850
2026-06-05,NQ,Short,19742.25,19758.00,-315
2026-06-05,NQ,Short,19724.00,19759.50,-710
2026-06-08,NQ,Long,19741.75,19815.75,1480
2026-06-12,GC,Long,2378.60,2385.80,720
2026-06-12,ES,Short,5421.00,5428.00,-350
2026-06-16,NQ,Long,19848.75,19805.00,-875
2026-06-16,NQ,Long,19851.50,19916.50,1300
2026-06-16,CL,Long,79.32,78.85,-470
2026-06-18,CL,Long,80.02,79.47,-550
